[ 2025-03-26 11:16:37,266 ] 16 root - INFO - Initiate the data ingestion
[ 2025-03-26 11:16:43,885 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-26 11:16:43,885 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-26 11:16:43,886 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-26 11:16:43,951 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-26 11:16:43,953 ] 18 root - INFO - Data ingestion completed
[ 2025-03-26 11:16:43,977 ] 22 root - INFO - Initiate the data validation
[ 2025-03-26 11:16:44,059 ] 32 root - INFO - Required number of columns:2
[ 2025-03-26 11:16:44,059 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-26 11:16:44,060 ] 32 root - INFO - Required number of columns:2
[ 2025-03-26 11:16:44,060 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-26 11:16:44,214 ] 24 root - INFO - Data validation completed
[ 2025-03-26 11:16:44,214 ] 27 root - INFO - Data Transformation started
[ 2025-03-26 11:16:44,214 ] 48 root - INFO - enterd initiate _data_transformation method of datatransformation class
[ 2025-03-26 11:16:44,214 ] 50 root - INFO - starting data transformation
