[ 2025-04-01 10:53:18,657 ] 18 root - INFO - Initiate the data ingestion
[ 2025-04-01 10:53:22,749 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-04-01 10:53:22,749 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-04-01 10:53:22,749 ] 75 root - INFO - Exporting train and test file path.
[ 2025-04-01 10:53:22,792 ] 84 root - INFO - Exported train and test file path.
[ 2025-04-01 10:53:22,792 ] 20 root - INFO - Data ingestion completed
[ 2025-04-01 10:53:22,808 ] 24 root - INFO - Initiate the data validation
[ 2025-04-01 10:53:22,883 ] 32 root - INFO - Required number of columns:2
[ 2025-04-01 10:53:22,884 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-01 10:53:22,884 ] 32 root - INFO - Required number of columns:2
[ 2025-04-01 10:53:22,884 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-01 10:53:23,014 ] 26 root - INFO - Data validation completed
[ 2025-04-01 10:53:23,015 ] 29 root - INFO - Data Transformation started
[ 2025-04-01 10:53:23,015 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-04-01 10:53:23,015 ] 65 root - INFO - Starting data transformation
[ 2025-04-01 10:53:23,032 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-04-01 10:53:23,032 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-04-01 10:53:23,042 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-01 10:53:23,045 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-01 10:53:23,045 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-01 10:53:23,046 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-01 10:53:23,048 ] 33 root - INFO - data Transformation completed
[ 2025-04-01 10:53:23,048 ] 35 root - INFO - Model Traning started
