[ 2025-03-26 11:35:20,718 ] 16 root - INFO - Initiate the data ingestion
[ 2025-03-26 11:35:24,130 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-26 11:35:24,131 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-26 11:35:24,131 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-26 11:35:24,182 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-26 11:35:24,182 ] 18 root - INFO - Data ingestion completed
[ 2025-03-26 11:35:24,188 ] 22 root - INFO - Initiate the data validation
[ 2025-03-26 11:35:24,287 ] 32 root - INFO - Required number of columns:2
[ 2025-03-26 11:35:24,309 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-26 11:35:24,309 ] 32 root - INFO - Required number of columns:2
[ 2025-03-26 11:35:24,309 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-26 11:35:24,441 ] 24 root - INFO - Data validation completed
[ 2025-03-26 11:35:24,442 ] 27 root - INFO - Data Transformation started
[ 2025-03-26 11:35:24,442 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-26 11:35:24,442 ] 65 root - INFO - Starting data transformation
[ 2025-03-26 11:35:24,459 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-03-26 11:35:24,459 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-26 11:35:24,471 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-26 11:35:24,474 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-26 11:35:24,474 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-26 11:35:24,477 ] 50 root - INFO - Exited the save_object method of MainUtils class
