[ 2025-03-26 11:26:28,223 ] 16 root - INFO - Initiate the data ingestion
[ 2025-03-26 11:26:31,953 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-26 11:26:31,954 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-26 11:26:31,954 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-26 11:26:32,000 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-26 11:26:32,000 ] 18 root - INFO - Data ingestion completed
[ 2025-03-26 11:26:32,006 ] 22 root - INFO - Initiate the data validation
[ 2025-03-26 11:26:32,092 ] 32 root - INFO - Required number of columns:2
[ 2025-03-26 11:26:32,093 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-26 11:26:32,093 ] 32 root - INFO - Required number of columns:2
[ 2025-03-26 11:26:32,093 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-26 11:26:32,207 ] 24 root - INFO - Data validation completed
[ 2025-03-26 11:26:32,208 ] 27 root - INFO - Data Transformation started
[ 2025-03-26 11:26:32,208 ] 48 root - INFO - enterd initiate _data_transformation method of datatransformation class
[ 2025-03-26 11:26:32,208 ] 50 root - INFO - starting data transformation
[ 2025-03-26 11:26:32,226 ] 35 root - INFO - Entered get_data_transformation_object method of Transformation class
