[ 2025-03-26 11:32:44,688 ] 16 root - INFO - Initiate the data ingestion
[ 2025-03-26 11:32:47,949 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-26 11:32:47,950 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-26 11:32:47,951 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-26 11:32:47,998 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-26 11:32:47,999 ] 18 root - INFO - Data ingestion completed
[ 2025-03-26 11:32:48,005 ] 22 root - INFO - Initiate the data validation
[ 2025-03-26 11:32:48,112 ] 32 root - INFO - Required number of columns:2
[ 2025-03-26 11:32:48,123 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-26 11:32:48,123 ] 32 root - INFO - Required number of columns:2
[ 2025-03-26 11:32:48,123 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-26 11:32:48,255 ] 24 root - INFO - Data validation completed
[ 2025-03-26 11:32:48,255 ] 27 root - INFO - Data Transformation started
[ 2025-03-26 11:32:48,256 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-26 11:32:48,256 ] 65 root - INFO - Starting data transformation
[ 2025-03-26 11:32:48,274 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-03-26 11:32:48,274 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': '3', 'weights': 'uniform'}
